frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
108,0.580788,0.591768,0.194923,0.196848,0.060161,-0.043763,0.5539646899700165,0,0
109,0.595453,0.583385,0.197083,0.195424,0.064711,-0.042700,0.5539646899700165,0,0
110,0.597503,0.583658,0.198578,0.194083,0.044822,-0.040162,0.5539646899700165,0,0
111,0.594248,0.579708,0.198208,0.193821,-0.011084,-0.007872,0.5539646899700165,0,0
112,0.592124,0.581021,0.196718,0.194678,-0.044650,0.025699,0.5539646899700165,0,0
113,0.584094,0.591376,0.194459,0.196239,-0.067729,0.046786,0.5539646899700165,0,0
114,0.573909,0.593757,0.191456,0.197740,-0.089989,0.044966,0.5539646899700165,0,0
115,0.565100,0.594525,0.189643,0.198093,-0.054336,0.010595,0.5539646899700165,0,0
116,0.567777,0.594557,0.189224,0.198201,-0.012555,0.003229,0.5539646899700165,0,0
117,0.570139,0.594727,0.189800,0.198236,0.017265,0.001041,0.5539646899700165,0,0
118,0.570285,0.594837,0.190213,0.198370,0.012369,0.004034,0.5539646899700165,0,0
119,0.571492,0.595769,0.190590,0.198452,0.011302,0.002433,0.5539646899700165,0,0
120,0.573533,0.595458,0.191425,0.198508,0.025040,0.001700,0.5539646899700165,0,0
121,0.577805,0.595348,0.192126,0.198441,0.021009,-0.002008,0.5539646899700165,0,0
122,0.577801,0.595166,0.192875,0.198349,0.022445,-0.002771,0.5539646899700165,0,0
123,0.580273,0.594625,0.193514,0.198190,0.019138,-0.004771,0.5539646899700165,0,0
124,0.583552,0.593915,0.194444,0.198016,0.027874,-0.005210,0.5539646899700165,0,0
125,0.586171,0.593601,0.195143,0.197779,0.020936,-0.007100,0.5539646899700165,0,0
126,0.586560,0.592493,0.195596,0.197465,0.013597,-0.009398,0.5539646899700165,0,0
127,0.587635,0.591093,0.195967,0.197111,0.011111,-0.010618,0.5539646899700165,0,0
128,0.589508,0.590413,0.196404,0.196840,0.013108,-0.008124,0.5539646899700165,0,0
129,0.590496,0.590054,0.197068,0.196636,0.019896,-0.006104,0.5539646899700165,0,0
130,0.593609,0.589260,0.197834,0.196476,0.022963,-0.004802,0.5539646899700165,0,0
131,0.596404,0.588971,0.198628,0.196338,0.023797,-0.004126,0.5539646899700165,0,0
132,0.597643,0.588815,0.199212,0.196277,0.017504,-0.001838,0.5539646899700165,0,0
133,0.598866,0.588708,0.199684,0.196247,0.014132,-0.000889,0.5539646899700165,0,0
134,0.600648,0.588704,0.200197,0.196216,0.015366,-0.000937,0.5539646899700165,0,0
135,0.602257,0.588533,0.200764,0.196067,0.016995,-0.004478,0.5539646899700165,0,0
136,0.603969,0.587363,0.201316,0.195932,0.016558,-0.004050,0.5539646899700165,0,0
137,0.605620,0.587488,0.201868,0.195826,0.016548,-0.003175,0.5539646899700165,0,0
138,0.607226,0.587580,0.202359,0.195852,0.014705,0.000776,0.5539646899700165,0,0
139,0.608385,0.587596,0.203086,0.195889,0.021770,0.001111,0.5539646899700165,0,0
140,0.612158,0.587821,0.203862,0.196082,0.023268,0.005787,0.5539646899700165,0,0
141,0.614214,0.589318,0.204762,0.196547,0.026982,0.013949,0.5539646899700165,0,0
142,0.616488,0.591785,0.205551,0.197272,0.023629,0.021735,0.5539646899700165,0,0
143,0.619254,0.594348,0.206566,0.198047,0.030441,0.023231,0.5539646899700165,0,0
144,0.623355,0.596294,0.207498,0.198797,0.027916,0.022450,0.5539646899700165,0,0
145,0.624871,0.598527,0.208352,0.199560,0.025597,0.022879,0.5539646899700165,0,0
146,0.626941,0.601219,0.208953,0.200319,0.018025,0.022757,0.5539646899700165,0,0
147,0.628768,0.603128,0.209574,0.200883,0.018588,0.016891,0.5539646899700165,0,0
148,0.630453,0.603600,0.209870,0.201121,0.008890,0.007143,0.5539646899700165,0,0
