frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
112,0.709448,0.702152,0.236444,0.234002,-0.000622,0.001233,0.6670482850074768,0,0
113,0.709299,0.702074,0.236404,0.233917,-0.001193,-0.002542,0.6670482850074768,0,0
114,0.708889,0.701025,0.236336,0.233787,-0.002029,-0.003869,0.6670482850074768,0,0
115,0.708838,0.700989,0.236222,0.233605,-0.003405,-0.005448,0.6670482850074768,0,0
116,0.708274,0.700435,0.236151,0.233496,-0.002145,-0.003274,0.6670482850074768,0,0
117,0.708244,0.700040,0.236100,0.233312,-0.001516,-0.005488,0.6670482850074768,0,0
118,0.708381,0.699337,0.236132,0.233224,0.000959,-0.002660,0.6670482850074768,0,0
119,0.708563,0.699634,0.236165,0.233176,0.000998,-0.001420,0.6670482850074768,0,0
120,0.708544,0.699613,0.236183,0.233216,0.000512,0.001197,0.6670482850074768,0,0
121,0.708535,0.699698,0.236129,0.233202,-0.001608,-0.000424,0.6670482850074768,0,0
122,0.708079,0.699507,0.236076,0.233182,-0.001592,-0.000588,0.6670482850074768,0,0
123,0.708065,0.699436,0.236008,0.233122,-0.002030,-0.001795,0.6670482850074768,0,0
124,0.707925,0.699158,0.235973,0.232996,-0.001051,-0.003772,0.6670482850074768,0,0
125,0.707763,0.698372,0.235923,0.232735,-0.001474,-0.007802,0.6670482850074768,0,0
126,0.707622,0.697089,0.235881,0.232447,-0.001261,-0.008631,0.6670482850074768,0,0
127,0.707545,0.696561,0.235850,0.232235,-0.000926,-0.006334,0.6670482850074768,0,0
128,0.707484,0.696467,0.235834,0.232172,-0.000494,-0.001877,0.6670482850074768,0,0
129,0.707473,0.696524,0.235825,0.232094,-0.000247,-0.002341,0.6670482850074768,0,0
130,0.707471,0.695857,0.235812,0.232034,-0.000398,-0.001804,0.6670482850074768,0,0
131,0.707364,0.695924,0.235807,0.231925,-0.000155,-0.003243,0.6670482850074768,0,0
132,0.707427,0.695548,0.235812,0.231892,0.000156,-0.000995,0.6670482850074768,0,0
133,0.707518,0.695558,0.235830,0.231855,0.000524,-0.001119,0.6670482850074768,0,0
134,0.707522,0.695587,0.235841,0.231698,0.000329,-0.004695,0.6670482850074768,0,0
135,0.707526,0.694136,0.235863,0.231461,0.000685,-0.007076,0.6670482850074768,0,0
136,0.707724,0.693429,0.235885,0.231276,0.000653,-0.005555,0.6670482850074768,0,0
137,0.707718,0.693916,0.235852,0.231260,-0.001008,-0.000457,0.6670482850074768,0,0
138,0.707222,0.693998,0.235783,0.231547,-0.002053,0.008571,0.6670482850074768,0,0
139,0.707106,0.696007,0.235696,0.231695,-0.002599,0.004435,0.6670482850074768,0,0
140,0.706936,0.695250,0.235639,0.231764,-0.001707,0.002060,0.6670482850074768,0,0
141,0.706709,0.694618,0.235610,0.231265,-0.000862,-0.014938,0.6670482850074768,0,0
142,0.706847,0.691513,0.235642,0.230592,0.000951,-0.020122,0.6670482850074768,0,0
143,0.707222,0.689197,0.235734,0.229763,0.002743,-0.024807,0.6670482850074768,0,0
144,0.707534,0.687155,0.235866,0.229305,0.003950,-0.013706,0.6670482850074768,0,0
